Cell Line Id,Primary Site,Actual,Predicted,Drug
HDQP1,BREAST,1.2775249,-0.9078430466693329,FK866
MDAMB361,BREAST,1.61474032,-2.6180999262565043,FK866
MDAMB415,BREAST,1.97528441,-0.5535108633958808,FK866
MDAMB468,BREAST,-0.5337572270000001,-0.967557547578969,FK866
UACC893,BREAST,-0.5337572270000001,0.8455879977950795,FK866
BT474,BREAST,0.7792993,-0.350442339023248,FK866
CAMA1,BREAST,0.48767339,-1.560561477668816,FK866
EFM192A,BREAST,0.34916737,1.7570964926960952,FK866
EVSAT,BREAST,0.72286812,-3.7543560276903407,FK866
HCC1187,BREAST,-0.88341345,-1.0253495111629203,FK866
HCC1395,BREAST,-0.08192221,-1.7666349760058864,FK866
HCC1599,BREAST,-0.5337572270000001,-2.8556758449305355,FK866
HCC2157,BREAST,-4.11779281,-2.322811833464886,FK866
HS578T,BREAST,2.51683005,-0.7710991913876718,FK866
HCC1143,BREAST,-3.79856405,-2.477500806316854,FK866
HCC1419,BREAST,3.32686919,2.9745744853864013,FK866
HCC1428,BREAST,1.81700882,-1.0551351334428216,FK866
HCC202,BREAST,1.19369458,0.8680463425523709,FK866
HCC38,BREAST,2.7447037,-0.1697048471842546,FK866
HCC70,BREAST,-1.28010324,3.34058214260418,FK866
MDAMB436,BREAST,0.00224561,-1.8208311972898197,FK866
MDAMB453,BREAST,-1.82686304,0.06729858847380477,FK866
UACC812,BREAST,-0.5337572270000001,-1.2729229885529834,FK866
CAL120,BREAST,-4.41431253,-0.16664064744586088,FK866
CAL148,BREAST,-0.5337572270000001,-0.8535939646724225,FK866
CAL51,BREAST,-6.39980785,0.11614526713836557,FK866
DU4475,BREAST,-6.74182502,-0.1416940626930949,FK866
HCC1937,BREAST,1.4771005,-1.567571112029543,FK866
HCC2218,BREAST,-2.26477053,-0.23886318348660351,FK866
MDAMB231,BREAST,-2.50215782,-1.02869365736715,FK866
T47D,BREAST,-2.00293495,-1.481323800011878,FK866
ZR7530,BREAST,3.90273512,2.4903016642973794,FK866
AU565,BREAST,-1.66503983,-2.363765816060629,ISPINESIBMESYLATE
BT20,BREAST,-3.6119486,-2.050295451185576,ISPINESIBMESYLATE
EFM19,BREAST,0.03411955,0.1299136987831444,ISPINESIBMESYLATE
HCC1500,BREAST,-1.06495795,-0.3352008589205626,ISPINESIBMESYLATE
